age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
55,6,204191,9,4,10,1,2,1,0,0,38,39,0
54,4,192252,9,0,4,4,4,0,0,0,37,39,0
53,4,187872,15,6,12,1,2,0,0,0,52,39,0
52,4,192470,15,2,12,4,4,1,0,0,27,39,0
53,4,167184,9,2,10,1,4,1,0,0,40,39,0
53,4,114719,9,2,0,1,3,1,0,1783,52,39,0
54,4,250433,7,2,13,2,4,0,0,0,40,3,0
52,4,103073,15,0,12,3,4,1,0,0,40,39,0
55,4,280085,9,2,10,0,4,1,0,0,50,39,0
55,4,281824,15,0,6,0,2,0,0,0,51,39,1
55,4,64814,15,2,7,3,4,0,0,0,48,39,0
53,6,178179,15,3,10,1,4,0,0,0,40,39,0
53,4,157703,0,2,10,1,4,1,0,0,40,39,0
52,4,179223,9,2,3,3,1,1,0,0,40,39,0
53,4,381626,11,5,5,1,2,0,0,0,40,39,0
53,4,210771,15,2,10,3,4,1,0,0,50,39,0
52,4,152146,15,0,10,3,4,1,0,0,40,39,0
54,4,149888,11,4,1,1,4,1,0,2176,27,39,0
54,4,245725,9,4,10,0,4,1,0,0,40,39,0
53,6,184557,12,4,11,5,4,1,0,0,37,39,0
53,6,217834,15,2,10,1,4,1,0,0,40,39,0
53,5,385283,15,4,6,1,4,0,63686,0,40,11,0
54,0,99044,9,0,4,4,0,0,0,0,51,39,0
53,4,183257,11,5,10,3,2,0,6455,0,40,39,1
53,5,390475,9,4,3,3,4,1,0,0,40,39,0
53,4,580303,9,4,1,3,4,1,0,1728,40,39,0
53,2,233434,11,6,0,1,4,1,6048,0,50,26,0
54,4,223445,9,2,13,3,4,0,0,0,40,39,0
54,4,140209,8,4,12,0,4,0,0,0,41,39,0
54,4,147693,9,4,4,1,4,1,5219,0,65,0,0
53,4,221648,9,2,10,3,4,1,0,0,40,39,0
52,4,138112,7,4,10,2,4,1,0,0,50,39,0
52,4,42371,15,4,10,3,4,1,0,0,40,39,0
53,4,183369,12,3,10,1,4,0,0,0,40,39,0
53,4,260785,8,0,4,3,0,1,0,0,36,39,0
53,4,237586,11,4,5,1,4,1,0,0,49,39,0
54,2,182536,3,5,14,3,2,1,0,0,31,39,0
53,2,121282,15,2,3,0,2,1,65166,0,40,39,0
54,7,373108,3,2,7,1,4,0,0,0,37,39,0
52,5,106793,7,2,7,1,2,1,0,0,40,39,0
53,4,272708,6,3,3,0,4,0,0,0,40,39,0
53,7,172102,8,4,5,1,4,1,0,0,40,39,0
55,4,174999,1,0,7,1,4,0,0,0,40,39,0
53,4,158394,11,0,3,0,4,0,0,0,37,39,0
52,4,163364,11,4,14,5,2,1,0,0,40,39,0
