age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
35,0,336556,15,4,3,1,4,1,0,0,84,39,0
33,4,113569,7,4,4,1,4,1,0,0,50,16,0
33,5,379003,12,2,10,1,2,0,0,0,40,39,0
31,4,202091,0,4,6,1,4,0,0,0,26,39,0
32,6,253423,1,0,5,4,4,0,0,0,25,39,0
31,4,116746,9,4,1,0,4,1,0,0,40,16,0
33,4,196535,9,6,5,1,4,0,0,0,37,39,0
33,4,187595,9,0,13,5,4,1,0,0,37,39,0
33,6,535938,9,6,0,0,4,1,0,0,64,39,1
31,7,110388,12,0,12,4,4,0,0,0,40,39,0
32,6,239585,9,2,3,1,4,1,0,0,28,39,0
32,2,109434,11,6,14,5,4,0,0,0,40,39,0
31,4,176536,3,2,11,0,4,0,0,0,40,39,0
33,4,187874,11,0,8,3,4,1,0,0,26,39,0
34,8,64067,8,0,14,0,2,0,0,0,51,39,0
31,4,285366,15,2,0,4,2,1,0,0,40,39,0
33,1,195368,5,0,4,4,4,1,0,0,24,39,0
32,4,306794,15,4,14,0,4,0,0,0,40,39,1
33,1,506992,0,2,10,0,4,1,0,0,40,39,0
31,4,258579,2,6,10,1,4,0,3469,0,50,39,0
32,4,175291,14,2,3,4,4,1,0,0,40,39,1
32,4,186431,11,2,4,1,4,0,0,0,27,39,0
32,4,376613,9,4,10,4,4,1,0,0,63,39,0
31,4,259489,9,4,3,0,4,0,0,0,40,39,0
34,4,185343,0,4,12,4,4,0,0,0,26,39,0
32,4,181246,11,2,3,4,4,1,0,0,40,39,1
33,0,121839,14,2,8,3,4,1,0,0,40,39,0
32,4,45592,2,6,3,3,4,0,0,0,25,39,0
31,2,181768,15,2,3,1,4,1,0,0,40,39,0
32,4,187549,11,4,12,1,4,0,0,0,37,39,0
31,2,357965,7,4,3,5,4,0,0,0,40,39,0
34,4,296700,5,4,6,1,4,1,0,1782,50,39,0
34,4,59026,5,3,10,0,4,1,0,0,26,0,0
33,4,47679,0,4,4,3,4,0,0,0,51,0,0
33,7,286553,11,2,3,5,4,0,0,0,25,39,0
32,4,124942,15,4,3,1,1,1,0,0,50,39,0
33,4,259414,15,2,6,4,4,1,0,0,40,39,0
31,4,173436,11,0,8,1,4,1,0,0,80,39,0
32,8,199362,9,4,7,0,1,0,0,0,51,39,0
31,8,195847,11,4,3,5,4,0,0,0,50,39,0
33,2,289962,8,0,12,0,4,0,0,0,50,39,0
33,4,196719,9,2,12,5,4,0,0,0,37,39,0
32,4,274592,9,0,3,4,4,1,0,0,40,39,0
30,4,174322,6,4,12,1,4,0,0,0,26,39,1
32,4,116914,15,2,10,0,4,1,0,0,26,39,1
33,4,111951,11,4,5,4,4,0,0,2080,40,39,0
32,4,250210,15,2,12,1,4,1,0,0,28,39,1
30,4,175085,10,4,12,0,4,1,0,0,40,39,0
33,4,70003,9,0,3,3,4,1,0,0,50,39,0
33,4,126083,15,2,3,1,4,0,0,0,62,39,0
31,4,303207,15,4,1,0,4,0,0,0,27,39,1
33,4,120748,8,4,0,0,4,0,0,2182,61,39,1
33,4,52738,15,0,12,3,4,0,0,0,40,39,0
31,4,330403,1,2,5,0,4,0,0,0,40,39,0
32,0,119288,11,4,4,0,4,0,0,0,50,39,0
32,0,256646,11,2,6,5,4,1,0,0,40,39,1
34,4,261273,9,4,12,1,4,1,0,0,40,39,1
32,4,190794,9,4,8,0,4,1,0,1794,25,39,0
32,6,176846,8,4,5,5,4,1,0,0,40,39,0
32,4,39147,6,4,12,1,4,1,0,2085,40,39,0
33,7,184305,11,2,5,0,4,1,0,0,27,39,0
31,5,360689,3,2,4,4,2,0,0,0,40,39,0
31,4,195926,9,4,6,0,4,0,0,0,50,39,0
31,4,195344,11,2,0,5,1,0,0,0,27,39,0
33,0,196632,15,4,0,0,4,0,0,0,40,28,0
31,4,191412,9,4,12,3,4,1,0,0,40,39,1
34,4,59888,9,4,3,1,4,0,0,0,40,39,0
33,4,30553,15,1,3,1,4,1,0,0,50,39,0
33,4,118058,15,2,0,3,4,1,3915,0,40,39,0
30,4,183549,11,2,10,1,4,0,0,0,50,39,0
33,6,185114,11,2,3,4,4,1,0,0,26,39,0
33,2,119101,11,2,1,1,4,0,0,0,40,39,0
33,4,179050,11,1,8,1,4,1,0,0,37,39,0
33,6,177748,11,2,3,1,4,1,0,0,25,39,0
32,4,261682,12,4,10,4,4,1,0,0,40,39,0
32,4,35269,14,4,3,1,4,0,4082,0,40,39,0
31,6,203298,11,0,3,1,0,0,0,0,37,38,0
31,2,270862,9,4,8,3,4,0,0,0,40,30,0
30,4,53724,12,4,12,1,4,0,0,0,63,39,1
34,4,64182,11,2,0,0,4,1,0,0,37,39,0
33,4,167381,9,2,12,3,2,1,0,0,25,39,0
31,2,106930,15,4,8,3,4,1,0,1792,26,39,0
32,4,116037,15,6,8,5,4,0,0,0,40,39,0
33,4,257042,9,4,13,5,4,1,0,0,62,39,0
32,4,128162,15,0,4,1,4,0,0,0,27,16,0
33,4,60827,9,4,8,1,4,1,0,1863,25,39,0
33,4,127069,9,3,4,2,4,0,5367,0,28,0,0
32,1,209176,15,4,1,3,4,0,0,0,26,39,1
34,4,294306,15,4,3,5,4,0,0,0,40,39,0
32,0,171922,9,2,12,3,4,0,5101,0,40,39,0
32,6,184274,15,2,7,0,4,1,0,0,40,30,0
31,4,193825,11,5,1,2,4,1,5283,0,40,39,0
31,4,412657,15,4,8,0,4,0,0,0,40,39,0
32,4,31390,7,0,3,1,2,0,0,0,50,39,0
35,5,211166,15,2,4,0,4,0,0,0,37,13,0
33,4,177116,11,2,5,2,4,1,0,0,25,39,0
31,0,123586,0,0,7,1,4,0,0,0,40,39,0
33,4,195505,11,2,4,1,1,0,0,0,37,39,1
33,4,217223,15,4,12,4,1,0,0,1773,51,39,0
33,7,496362,11,2,12,4,4,1,0,1779,40,39,0
33,4,131755,9,4,14,3,4,0,0,0,40,39,0
32,2,188979,14,4,10,1,4,1,0,0,28,39,1
33,4,122213,9,2,1,0,4,0,0,0,37,31,0
31,4,328280,11,4,10,0,4,1,0,0,40,39,0
34,4,214679,11,4,14,4,4,1,0,0,40,39,0
31,2,175284,11,4,8,1,4,1,61708,0,26,39,0
34,0,44465,15,1,4,1,4,1,0,0,50,39,1
31,4,42590,11,2,4,0,4,1,5031,0,40,28,0
33,2,429453,0,4,12,3,4,0,0,0,40,39,0
31,4,112771,0,4,10,1,0,0,0,0,26,39,0
32,4,47273,15,2,1,1,4,1,0,0,40,39,0
31,7,284132,9,3,7,1,4,1,0,0,25,39,0
31,4,282241,11,4,12,0,4,0,0,0,27,39,0
31,1,37367,15,0,8,0,2,1,0,0,27,39,0
32,4,57485,11,4,12,3,4,1,0,0,27,39,0
33,2,250052,9,4,13,5,4,0,0,0,50,39,0
33,6,46246,9,4,5,1,4,1,0,0,37,28,0
34,4,192439,5,4,8,5,4,0,0,0,37,39,0
