age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
50,1,136559,9,6,8,0,4,1,0,1851,19,39,1
54,4,191595,11,2,14,0,4,1,0,0,18,39,1
51,4,199092,11,2,14,3,2,0,0,0,40,41,0
52,4,73912,1,2,10,0,2,1,0,0,40,39,0
52,4,264406,12,2,3,0,4,1,0,0,40,39,1
52,4,149494,6,2,3,0,4,1,0,0,50,22,1
50,4,235203,11,4,14,0,4,1,2791,0,40,3,0
54,4,139317,9,6,12,0,4,1,0,0,40,39,0
51,4,172642,9,2,7,3,4,1,0,1840,40,39,0
51,4,192298,11,2,12,2,4,1,0,0,40,39,0
52,0,176671,8,5,4,3,4,1,0,0,40,39,0
53,6,53027,15,5,8,0,4,1,0,0,40,6,1
52,2,211340,15,5,1,3,4,0,0,0,60,39,0
50,4,296312,11,2,1,3,4,1,0,0,40,39,1
53,7,163289,4,0,4,3,1,0,0,0,40,39,0
48,2,163588,15,2,12,1,4,1,5834,0,40,32,0
53,4,180345,7,2,10,0,4,1,0,0,45,39,0
51,4,182046,15,2,12,1,1,1,0,0,50,39,0
51,4,170720,15,4,3,4,4,1,0,1833,40,39,1
52,4,381021,11,2,3,0,4,1,0,0,40,39,0
51,4,158101,11,2,4,1,4,1,0,0,40,39,0
50,0,164992,11,2,6,3,4,1,0,0,40,39,0
52,0,174678,9,6,6,0,4,1,0,0,40,39,0
52,1,121481,11,2,5,0,4,0,0,0,21,39,1
52,4,148584,4,0,5,0,4,1,0,0,40,39,0
52,4,157990,9,2,9,0,2,1,0,0,40,39,0
51,4,137590,4,2,5,0,4,1,0,0,40,39,0
51,0,69779,11,6,6,5,4,1,0,0,23,39,1
52,4,332327,11,2,8,0,4,1,0,0,40,14,0
51,4,295253,9,2,8,3,4,1,0,0,40,39,1
49,4,94227,0,2,14,3,1,1,0,0,40,36,1
52,2,187786,11,2,10,1,4,1,0,1863,40,6,0
52,4,168006,11,2,4,0,4,1,0,0,40,39,1
50,6,76726,11,4,1,4,4,0,0,0,44,39,0
50,4,113379,11,4,6,3,4,0,0,0,40,39,0
53,4,172604,15,2,10,0,4,1,0,1870,50,39,0
51,4,105257,10,4,6,3,4,0,0,0,40,39,0
51,7,329316,15,6,4,1,1,1,0,0,40,0,0
52,4,166373,11,2,12,0,4,1,61291,0,45,26,1
53,6,67562,11,2,12,2,4,1,6251,0,18,39,0
53,4,260141,11,2,3,0,4,1,6837,0,40,11,1
51,5,77747,4,6,14,0,1,1,0,0,38,39,0
53,4,64539,9,2,4,0,4,1,6172,0,40,39,1
50,4,177309,1,2,14,0,4,1,0,0,40,39,0
52,4,127285,11,2,7,0,4,1,0,0,40,39,0
50,4,158503,11,2,11,3,4,1,0,0,40,39,0
53,4,312591,9,2,8,4,4,1,0,0,40,39,0
53,4,138305,11,2,12,5,2,1,0,0,40,39,1
52,4,181658,11,2,3,0,4,1,0,0,40,39,1
51,0,70277,11,2,3,3,4,1,0,0,40,39,0
51,4,132227,11,2,3,1,4,1,0,0,40,39,1
51,4,255667,12,2,1,0,4,0,0,0,40,39,0
51,4,193217,6,4,8,1,4,1,0,2109,49,39,0
52,4,151905,6,2,4,0,4,1,5817,0,45,39,0
53,4,134303,11,2,8,0,4,1,83033,0,59,26,1
53,2,171504,11,2,4,0,4,1,9157,0,18,39,1
54,2,154310,11,2,13,0,4,1,6697,3468,40,39,0
54,4,166056,11,2,10,0,4,1,0,0,40,39,1
52,4,369960,15,2,6,4,4,1,0,0,40,39,0
54,4,212416,1,2,0,1,4,1,0,0,25,39,0
51,8,88785,13,6,12,1,4,0,0,0,40,39,0
52,4,170846,9,2,1,0,4,1,5249,1849,40,18,0
52,4,193161,9,2,8,3,4,1,0,0,40,39,0
52,4,40469,11,2,3,0,4,1,0,0,45,39,1
51,8,126842,11,2,7,0,4,1,0,0,27,39,1
52,4,61505,11,2,14,0,4,1,9537,0,40,39,1
52,7,173344,10,2,12,5,4,1,0,0,40,39,1
54,2,154991,15,2,12,0,1,1,7026,0,20,39,1
53,4,185542,11,2,1,4,4,1,0,2717,35,39,0
53,4,44155,11,2,12,0,4,1,0,0,45,39,1
51,4,57547,11,2,4,1,4,1,0,1807,17,37,0
51,4,200962,15,3,7,3,4,0,0,0,40,39,0
51,0,76292,5,4,0,3,4,0,5669,2093,40,39,0
50,4,210983,14,0,4,1,4,0,0,0,20,39,0
52,4,179286,0,4,8,3,4,0,0,0,59,39,0
52,4,137735,15,4,1,1,2,1,6876,0,40,39,0
52,4,112966,4,2,8,0,4,0,7768,0,57,39,0
50,4,126922,8,2,12,0,1,1,0,0,40,39,0
52,4,130202,7,2,6,0,1,1,0,0,40,39,1
53,1,156608,11,2,14,0,4,1,0,0,40,39,1
51,4,175285,11,6,6,1,4,0,0,0,40,39,0
52,4,211320,15,0,1,3,1,0,0,0,40,39,0
51,4,61050,4,0,1,3,4,1,0,0,40,39,0
54,7,279789,7,2,8,0,2,1,9409,0,40,37,1
54,4,167281,11,2,7,0,4,1,0,0,40,39,0
52,7,123032,11,2,12,0,4,1,0,0,40,39,1
