age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
41,7,200175,15,2,12,1,0,0,0,0,17,39,1
41,1,370672,4,0,10,0,4,1,0,0,36,39,0
41,0,260170,8,4,5,3,4,1,0,0,40,39,0
41,0,93110,5,2,8,0,4,0,0,0,45,39,0
43,4,87267,11,0,1,0,3,0,0,0,40,39,0
41,0,388287,4,1,8,1,4,0,0,0,45,19,0
41,7,186456,9,4,8,0,4,1,41816,2346,50,39,1
43,6,397266,14,2,8,1,4,0,0,0,50,39,0
41,7,478116,12,2,4,0,4,1,0,0,18,20,0
40,8,287524,11,0,13,0,4,1,0,0,40,6,0
42,6,340513,15,4,8,1,4,0,49293,0,43,18,1
41,6,177326,11,2,6,1,4,1,0,0,50,39,0
41,2,277859,11,2,10,0,4,0,0,0,50,39,0
42,7,470854,9,4,4,3,4,1,0,0,40,39,1
41,6,128693,0,3,4,0,4,1,0,0,51,39,1
40,2,76889,15,0,12,0,0,1,0,0,36,6,1
41,0,196236,15,4,14,4,4,1,0,0,51,39,1
41,4,432114,6,2,1,1,4,0,0,0,25,39,0
40,0,341858,7,4,5,3,4,0,0,0,35,39,0
40,7,426239,1,2,1,5,4,1,0,2556,44,39,0
41,4,194018,11,4,11,1,4,1,0,0,40,39,0
40,4,164893,11,5,4,0,4,1,0,0,70,19,0
42,7,305157,3,4,12,3,4,1,1972,0,40,39,0
42,5,327275,1,6,9,1,4,0,0,0,31,39,0
42,4,422760,5,4,12,1,4,0,12392,0,43,39,0
43,4,322780,15,4,7,0,1,0,0,0,55,39,0
42,4,190760,13,4,1,3,4,1,0,0,50,8,1
42,4,97032,0,5,1,0,4,1,6545,0,24,39,0
42,4,84597,15,2,1,1,4,1,60041,1749,36,39,0
42,0,178709,1,3,10,1,4,0,0,0,57,39,0
42,6,189770,15,0,4,4,4,0,0,0,40,39,0
39,6,361824,2,6,4,0,4,0,0,0,34,39,1
39,1,347544,6,2,12,4,4,1,0,0,49,10,0
40,4,158019,12,6,1,0,4,0,0,0,50,39,0
40,8,300593,4,4,3,0,4,0,0,0,40,39,1
42,4,201912,11,4,1,0,4,1,0,0,35,23,1
42,5,171553,9,2,10,1,4,1,0,0,59,20,0
40,0,407516,3,2,9,0,4,1,0,0,49,39,0
41,4,299502,4,2,1,0,4,1,0,0,50,26,0
40,6,163968,1,4,5,0,4,1,0,0,33,39,0
42,2,424972,7,2,10,5,4,0,0,0,40,39,1
37,4,177051,9,6,10,3,4,1,0,0,50,39,1
40,6,187416,15,4,10,0,4,0,0,0,40,8,0
40,4,163602,15,5,1,1,4,1,0,0,37,39,1
40,4,389462,4,4,3,4,4,1,0,0,40,39,1
42,4,158439,1,4,10,0,1,0,0,0,68,39,0
41,6,183425,9,0,10,1,4,1,0,0,70,39,1
40,4,188378,6,2,0,1,3,1,0,0,37,39,0
40,1,284321,11,2,6,0,4,0,1419,0,49,39,0
43,4,152425,15,2,1,1,4,1,0,0,30,39,0
41,6,189627,3,4,8,3,4,1,0,0,50,39,1
43,4,311722,14,4,1,0,4,1,0,0,61,39,0
42,4,181523,11,2,1,1,4,0,0,0,13,39,0
40,2,407488,12,3,10,3,3,1,0,0,50,39,0
40,4,157645,8,2,5,0,4,1,0,0,40,39,1
40,8,302074,14,2,12,3,3,1,2726,0,50,37,1
42,4,428785,10,0,10,3,4,0,0,0,50,39,0
41,0,164125,2,6,7,1,4,0,0,0,50,7,0
41,6,426065,12,6,4,5,4,1,0,0,40,39,0
39,5,389128,9,0,13,4,4,1,19809,0,40,39,1
42,4,192773,11,0,12,3,4,1,0,0,40,39,1
42,7,485773,2,2,2,3,4,1,0,0,17,39,1
41,0,296184,3,1,7,1,4,1,0,0,27,39,1
42,7,160421,6,2,4,1,4,0,0,0,37,39,0
40,1,188820,9,2,3,4,0,1,0,0,31,24,0
42,8,317093,5,5,1,1,4,1,0,0,41,39,1
41,4,195381,9,4,1,3,4,1,0,0,49,39,0
41,1,267298,4,4,0,5,4,1,0,0,20,39,0
42,0,195136,9,3,1,3,4,1,0,0,50,28,0
40,1,292680,5,2,3,5,2,0,0,0,40,3,0
41,2,159561,10,4,8,0,4,0,0,0,25,39,0
41,4,182826,0,0,5,2,4,1,0,0,40,39,0
43,4,84503,4,4,0,1,2,0,0,0,40,39,0
42,2,179186,15,2,8,1,4,0,0,0,61,39,1
41,4,378175,15,4,3,1,4,1,0,0,50,39,0
40,6,172116,3,5,0,2,2,1,0,0,38,0,1
42,4,83003,4,2,1,0,4,1,0,0,40,39,1
42,7,284386,10,0,12,0,4,1,3888,0,50,39,0
41,6,422759,9,5,8,1,4,1,0,0,50,21,0
41,5,378363,7,6,1,4,3,1,0,0,58,39,1
40,7,194565,15,3,4,1,4,1,0,0,40,39,1
40,2,80846,3,4,12,4,2,1,0,1795,73,39,1
42,4,76494,15,2,2,1,3,1,0,0,23,18,1
42,4,83748,13,4,4,3,4,0,0,0,15,39,0
41,6,406372,13,2,8,0,4,0,10074,0,50,8,0
40,6,164155,7,2,6,1,4,0,0,0,18,39,0
41,4,145885,7,2,8,4,4,0,0,0,50,39,0
43,1,194971,12,2,1,1,0,1,0,0,20,18,0
40,4,197865,3,1,1,3,4,1,0,1722,49,39,1
42,4,471113,9,2,1,0,4,0,0,0,35,39,1
43,1,84557,15,2,11,0,4,1,0,0,50,39,0
44,5,337209,3,4,12,4,4,1,0,0,41,39,1
